n1,country,mean,median,standard_deviation,standard_error,variables
1,Denmark,2.0465579,2,.95914835,.016752565,Q1
1,Denmark,5.2509685,5,2.2030704,.038932987,Q10
1,Denmark,4.4481273,4,2.3649521,.041426681,Q13
1,Denmark,4.2250314,4,2.4870224,.043611839,Q14
1,Denmark,5.6322966,5,2.3582165,.041513007,Q15
1,Denmark,3.0254943,3,1.3073612,.022872891,Q16
1,Denmark,3.0868764,3,.92093778,.016171742,Q17
1,Denmark,1.2619783,1,.43977818,.0076929457,Q18
1,Denmark,6.5747724,7,2.58972,.045301419,Q19
1,Denmark,3.9764473,4,2.5211761,.044068694,Q20
1,Denmark,3.9920962,4,2.5010936,.043757789,Q21
1,Denmark,6.8222103,7,2.3212488,.040592685,Q22
1,Denmark,1.5664332,1,.64427388,.011521435,Q23
1,Denmark,7.1680598,8,2.163547,.037800226,Q25
1,Denmark,8.4683676,9,1.5307018,.026780335,Q26
1,Denmark,3.2971542,4,.89634538,.015778869,Q28_1
1,Denmark,2.8372049,3,.87910473,.015530819,Q28_2
1,Denmark,3.7419887,4,.55873799,.0098009128,Q28_3
1,Denmark,1.2703804,1,.52943867,.0092883976,Q28_4
1,Denmark,1.8060843,2,.85549188,.014958072,Q32_1
1,Denmark,3.1197193,3,.90493143,.01587599,Q32_2
1,Denmark,3.1247306,3,.94987285,.016643958,Q32_3
1,Denmark,7.6582265,8,1.7383409,.030483138,Q8B
2,Italy,2.1303751,2,.84413934,.017752677,Q1
2,Italy,5.626255,6,2.3455174,.057847921,Q10
2,Italy,5.4718161,5,2.7133403,.057548568,Q13
2,Italy,3.4931488,3,2.5304182,.053717233,Q14
2,Italy,5.5560517,6,2.7847528,.05902338,Q15
2,Italy,2.2398751,2,1.1987269,.025424387,Q16
2,Italy,3.1262615,3,.98343366,.02087692,Q17
2,Italy,1.7177689,2,.45018667,.0095568327,Q18
2,Italy,5.3519177,5,2.9391515,.062295891,Q19
2,Italy,3.7723277,3,2.5719182,.054585926,Q20
2,Italy,4.3375516,4,2.6555309,.057674445,Q21
2,Italy,6.0867839,6,2.7402303,.05879727,Q22
2,Italy,1.7502536,2,.72145075,.015294725,Q23
2,Italy,4.6894832,5,2.4448106,.051946748,Q25
2,Italy,6.0283546,6,2.2543464,.048051909,Q26
2,Italy,3.0143602,3,.9796018,.021141391,Q28_1
2,Italy,2.7383907,3,.92316526,.020227157,Q28_2
2,Italy,3.5368586,4,.69094044,.01490814,Q28_3
2,Italy,1.2983023,1,.54141253,.011563999,Q28_4
2,Italy,1.9573812,2,.97791862,.020816205,Q32_1
2,Italy,3.0749831,3,.96678036,.020884147,Q32_2
2,Italy,3.0392931,3,1.0088713,.02154351,Q32_3
2,Italy,7.1526022,7,1.7027082,.035968252,Q8B
3,Hungary,2.425494,2,1.0072541,.025989868,Q1
3,Hungary,6.101758,5,2.3869698,.06737908,Q10
3,Hungary,5.4408569,5,2.7870693,.072791517,Q13
3,Hungary,4.591188,5,2.8074446,.073198952,Q14
3,Hungary,5.6765118,6,3.1072161,.08057791,Q15
3,Hungary,1.6487954,1,1.0104266,.026255921,Q16
3,Hungary,3.6826804,4,.99108541,.026190246,Q17
3,Hungary,1.7209365,2,.44868928,.01162002,Q18
3,Hungary,4.4118423,4,3.1941493,.084585406,Q19
3,Hungary,3.1628366,2,2.6968098,.07096868,Q20
3,Hungary,2.803211,1,2.4919987,.065398008,Q21
3,Hungary,6.7421064,7,3.0919065,.081906609,Q22
3,Hungary,1.6646726,2,.75170922,.019639529,Q23
3,Hungary,4.6641626,5,2.7995389,.073646575,Q25
3,Hungary,5.3063116,5,2.7288308,.072036177,Q26
3,Hungary,3.1707573,3,.87006485,.022976138,Q28_1
3,Hungary,2.0067072,2,.8506555,.022702316,Q28_2
3,Hungary,3.5329983,4,.67838115,.017901793,Q28_3
3,Hungary,1.4905022,1,.69783729,.018402413,Q28_4
3,Hungary,2.1204045,2,1.0714985,.027824091,Q32_1
3,Hungary,3.4024162,4,.83291197,.021835726,Q32_2
3,Hungary,3.458112,4,.80169654,.020832073,Q32_3
3,Hungary,7.0935664,7,2.2227476,.057467774,Q8B
